Project,First Quantile,Mean,Third Quantile,Standard Deviation,Total Issue Count
Apache-TOMEE,0.00,173.32,37.00,579.20,3055
RedHat-ACM,7.00,54.54,65.00,80.50,950
Apache-SM,0.00,133.73,8.00,482.75,4684
Apache-CASSANDRA,1.00,109.13,73.00,274.12,15646
Spring-BATCH,0.00,160.97,73.00,462.11,2239
RedHat-TRACING,5.00,98.28,81.50,194.74,1803
Apache-AURORA,2.00,109.28,131.75,183.20,1578
RedHat-JBWS,2.00,176.27,129.00,436.05,3906
Apache-AMBARI,0.00,17.95,4.00,87.87,23428
Jira-JRACLOUD,77.00,1025.66,1662.00,1026.39,23846
Apache-BEAM,5.00,160.11,167.75,300.73,10242
Apache-TEZ,0.00,80.84,35.00,269.32,3344
RedHat-CRW,3.00,93.39,96.00,167.11,2712
Apache-MNG,1.00,398.00,471.00,721.94,5865
Apache-ZEPPELIN,2.00,52.07,33.00,139.34,3541
Apache-KYLIN,2.00,146.02,96.75,337.76,4562
Apache-SMX4,0.00,23.78,4.00,122.94,1758
Apache-DELTASPIKE,0.00,114.24,49.00,364.81,1387
Spring-ROO,0.00,49.32,18.00,230.04,3452
RedHat-TEIIDDES,3.00,416.08,427.50,735.86,3099
Apache-AVRO,1.00,168.60,78.00,473.59,2766
Apache-SOLR,1.00,288.39,188.75,622.69,12518
Apache-PARQUET,1.00,101.42,75.75,252.18,1666
Apache-CAY,0.00,138.48,59.00,429.62,2341
Apache-FLUME,2.00,362.56,327.25,680.17,2484
Apache-CONNECTORS,0.00,52.13,8.00,190.30,1622
RedHat-UNDERTOW,0.00,85.43,35.00,245.43,1769
Jira-JSDCLOUD,30.00,658.65,1072.50,731.41,4923
Jira-JSDSERVER,37.00,761.94,1469.00,837.37,4817
Jira-SRCTREE,0.00,256.77,154.00,591.66,2672
Apache-PIG,2.00,102.69,74.00,238.69,4329
Apache-HOP,0.00,76.52,55.00,178.57,2827
RedHat-ERRAI,0.00,88.32,75.00,189.33,962
RedHat-OADP,9.00,66.36,100.25,85.39,668
Apache-WICKET,0.00,84.59,31.00,255.20,6875
Apache-ORC,0.00,51.83,15.00,179.43,1138
Apache-STRATOS,0.00,68.21,65.00,129.40,1379
RedHat-ODC,9.00,64.00,91.00,82.61,1842
JiraEcosystem-PL,5.00,257.86,181.00,499.25,2889
Apache-TAVERNA,5.00,298.30,251.00,539.41,189
Apache-IGNITE,2.00,100.34,69.00,231.38,14154
RedHat-HAC,6.00,58.06,63.00,104.99,1387
Jira-BSERV,1.00,151.71,62.00,390.51,5918
Spring-DATACMNS,0.00,101.99,34.00,322.17,1574
Apache-FELIX,0.00,121.40,55.00,370.98,5716
Apache-SENTRY,1.50,66.06,55.00,143.51,1951
RedHat-HAL,1.00,196.30,162.25,378.21,1582
Apache-MSHARED,0.00,232.09,65.50,609.35,1115
RedHat-ISPN,1.00,175.11,75.00,455.30,11748
Apache-TRINIDAD,0.00,92.90,41.00,260.04,1859
Apache-FOR,1.00,183.38,145.00,496.29,842
Apache-ARIES,0.00,130.33,58.00,383.36,1784
Apache-JCLOUDS,1.00,146.27,115.00,356.31,1143
Apache-GERONIMO,0.00,103.19,91.00,227.27,5810
RedHat-MODE,0.00,99.17,49.50,264.57,2631
Apache-HTTPCLIENT,0.00,356.98,588.00,590.07,2125
Apache-HDDS,2.00,65.88,40.50,168.51,6407
Apache-TOMAHAWK,0.00,173.26,179.00,345.70,1197
RedHat-SWITCHYARD,2.00,62.59,52.00,163.30,2528
Apache-FOP,139.75,1818.32,3260.00,1469.64,2556
RedHat-RESTEASY,2.00,240.07,160.00,537.21,2860
RedHat-WINDUP,5.00,133.70,126.00,284.72,2804
Apache-MRELEASE,14.00,831.34,1471.50,1026.09,979
Jira-BAM,8.25,757.41,1186.25,1143.97,12702
Apache-OWB,0.00,87.66,51.50,210.84,1383
Apache-TOBAGO,0.00,380.49,117.00,953.99,2127
Apache-GOBBLIN,0.00,53.80,47.00,111.06,1081
RedHat-GITOPS,14.00,92.75,125.00,125.89,886
JFrog-TCAP,5.75,101.87,96.75,229.05,136
RedHat-JBSEAM,0.00,167.02,96.00,478.69,4134
Jira-I18N,20.00,217.35,252.00,371.74,583
RedHat-CEQ,0.00,21.20,1.00,53.18,593
Apache-PIVOT,0.00,98.83,60.75,302.08,846
Apache-BATIK,27.25,583.60,1013.75,536.07,922
Spring-IDE,0.00,437.73,302.25,932.46,1386
Apache-AMQ,0.00,351.21,240.75,805.35,7378
RedHat-AF,8.00,148.12,106.00,353.72,1968
Jira-CRUC,8.00,403.43,229.00,807.19,5968
RedHat-THORN,2.00,140.14,154.00,241.57,2467
Apache-KARAF,0.00,103.64,44.00,299.74,6832
Jira-CONFCLOUD,30.00,792.30,1247.00,827.40,21953
Apache-OODT,0.00,407.41,631.00,636.51,976
Apache-AXIS2,1.00,180.27,130.25,412.75,5248
Apache-HUDI,5.00,87.11,89.00,158.70,3777
Apache-GROOVY,0.00,272.19,198.50,619.02,9515
JiraEcosystem-AG,11.00,714.99,1640.50,1123.48,1466
RedHat-ENTMQMAAS,6.00,121.29,112.50,219.31,1891
Apache-DRILL,4.00,123.22,83.00,300.68,5702
Apache-HDFS,1.00,154.83,67.00,403.63,12697
RedHat-JBDS,3.00,186.34,104.00,611.27,4089
RedHat-JBPAPP,2.00,277.13,168.00,670.17,5931
JiraEcosystem-PLUG,1.00,272.30,187.25,516.64,1110
Apache-NUTCH,4.00,404.38,423.00,735.05,2696
Apache-ACCUMULO,0.00,425.96,295.75,832.49,4586
Apache-COCOON,194.00,678.97,1096.00,499.44,1955
RedHat-SB,1.00,59.19,57.25,109.91,1212
Apache-JS2,1.00,157.08,160.00,311.74,1253
Spring-SWF,2.00,146.28,105.00,389.50,1209
RedHat-JBESB,0.00,92.73,35.00,381.19,3453
Apache-MRM,1.00,344.81,262.00,695.81,1801
RedHat-JBIDE,0.00,160.55,61.00,529.76,26523
RedHat-JBTM,2.00,172.63,124.00,418.38,3362
RedHat-JWS,7.00,160.74,208.50,244.82,964
Apache-ROL,6.00,618.49,833.00,957.93,2069
RedHat-JBAS,2.00,309.30,435.75,486.57,8094
JFrog-RTFACT,12.00,929.18,2001.00,1180.45,11646
Apache-IOTDB,1.00,28.42,23.00,65.00,4566
Jira-BCLOUD,6.00,560.78,853.00,722.07,19334
Apache-TAP5,2.00,398.01,583.25,606.32,2562
Jira-JRASERVER,6.00,662.23,1093.00,900.96,39714
Apache-DIRMINA,0.00,409.62,283.00,865.87,1087
RedHat-OCPPLAN,6.00,189.30,415.75,265.66,1144
Apache-FLINK,2.00,114.84,71.00,277.90,26240
Apache-METRON,6.00,60.00,66.00,111.04,1661
Spring-DATAMONGO,1.00,190.39,62.50,518.04,2215
Apache-LOG4J2,0.00,157.51,66.50,427.79,2735
Apache-BOOKKEEPER,4.00,260.49,155.00,546.10,1022
Apache-STR,1007.00,1353.37,1790.00,633.15,2765
Apache-YARN,3.00,125.84,106.00,277.21,8126
RedHat-MON,16.00,93.39,118.00,121.83,937
Spring-SPR,0.00,324.25,142.00,716.61,15938
RedHat-JBEAP,5.00,148.79,122.00,306.43,17354
Apache-PHOENIX,1.00,83.57,52.00,220.46,5269
Apache-JCR,0.00,97.40,24.00,337.37,4184
Apache-FALCON,1.00,54.21,44.00,114.47,1805
RedHat-WELD,3.00,110.19,70.00,284.00,2521
Apache-BIGTOP,0.00,76.91,38.00,213.81,3236
Apache-SSHD,0.00,85.05,35.00,263.68,1234
RedHat-OSSM,9.00,127.37,149.00,202.39,1421
JiraEcosystem-PLE,3.00,269.91,204.50,504.08,1499
Apache-SCB,1.00,55.80,29.00,166.42,2266
Apache-SLIDER,0.00,30.89,26.50,74.89,963
RedHat-RFE,43.00,240.54,406.25,226.80,964
Jira-OPSGENIE,2.50,54.24,71.50,83.71,203
RedHat-QUARKUS,0.00,50.48,63.00,80.18,1454
RedHat-ENTESB,4.00,117.50,111.00,229.16,14598
RedHat-FUSETOOLS,3.00,145.40,109.00,301.69,2875
Apache-RAVE,0.00,30.46,28.00,64.01,864
Apache-HIVE,2.00,81.08,40.00,243.46,19407
Apache-KNOX,0.00,83.47,29.00,273.04,2561
Apache-NETBEANS,5.00,162.18,214.00,249.47,2941
Apache-SLING,0.00,77.37,15.00,307.72,10628
Spring-STS,2.00,363.66,320.00,675.07,4407
Apache-WW,1.00,452.44,143.00,1251.52,5090
Jira-CLOUD,7.00,503.49,747.00,708.12,7297
Apache-AIRAVATA,2.00,143.31,162.00,253.79,2885
Apache-CALCITE,1.00,78.07,37.00,232.57,3961
Apache-XALANJ,456.00,763.80,1094.00,421.22,1960
Apache-CLOUDSTACK,1.00,121.07,78.00,292.25,8339
Spring-DATAREDIS,1.00,120.91,61.75,312.30,1146
RedHat-APIMAN,0.00,49.76,36.00,107.65,917
Apache-DIRSERVER,1.00,336.48,211.00,834.41,1913
JiraEcosystem-ACJIRA,6.00,279.55,302.25,490.72,1380
Apache-GEODE,3.00,108.37,83.00,230.51,8632
Apache-JUDDI,0.00,112.63,60.00,300.05,993
JiraEcosystem-AMPS,4.00,341.39,575.25,493.74,1412
RedHat-KATA,13.00,79.76,101.50,107.88,739
RedHat-OPECO,7.00,78.86,79.00,138.20,873
Apache-STORM,3.00,88.76,71.00,193.49,2711
RedHat-EJBTHREE,0.00,131.75,71.00,369.76,1765
Apache-DIRSTUDIO,0.00,271.93,201.75,681.43,1088
JiraEcosystem-FRGE,144.50,398.39,595.50,301.79,387
Apache-SYNAPSE,0.00,150.19,126.75,336.89,990
RedHat-SDN,14.00,83.01,104.00,107.24,1207
Apache-OAK,0.00,59.61,22.00,173.88,9205
RedHat-ENTMQBR,17.00,191.56,168.00,391.49,3809
Sonatype-NEXUS,3.00,234.85,236.00,422.19,9805
RedHat-SRVKP,9.00,85.88,103.75,126.51,986
Apache-UIMA,0.00,214.08,76.00,697.71,6112
Apache-CONTINUUM,1.00,183.72,186.00,369.45,2312
Spring-DATAES,0.00,234.90,165.25,470.01,952
RedHat-HAWKULAR,1.00,113.71,114.25,190.92,1244
Jira-CLOV,9.00,842.97,1656.00,1217.63,1501
RedHat-JGRP,0.00,128.21,58.75,428.95,2514
Apache-LENS,1.00,39.97,36.00,80.40,1085
JiraEcosystem-AUI,6.00,369.78,589.50,533.85,4019
Apache-OPENEJB,0.00,230.46,223.00,457.35,1673
Apache-HBASE,1.00,312.32,98.00,770.46,25192
RedHat-DBZ,1.00,82.66,75.00,188.72,4806
RedHat-CLOUD,1.00,91.96,73.00,225.74,1973
Spring-XD,2.00,57.69,44.00,129.14,3046
Spring-DATAJPA,0.00,222.75,105.00,501.21,1490
Apache-APEXMALHAR,0.00,45.64,26.00,122.81,1697
RedHat-DEVELOPER,4.00,84.71,88.00,151.68,5252
Apache-CXF,0.00,108.11,40.00,317.28,8256
Apache-ASTERIXDB,12.00,445.37,838.00,479.78,2188
Apache-HADOOP,2.00,194.13,100.00,463.55,13644
JiraEcosystem-UPM,2.00,143.54,71.00,353.07,3714
JiraEcosystem-APL,6.00,429.48,336.00,839.32,1206
Spring-DATAGRAPH,1.00,270.59,126.75,567.08,1402
RedHat-CNV,14.00,85.55,122.00,99.49,1397
Apache-TIKA,0.00,128.05,59.25,353.18,2948
Sonatype-MVNCENTRAL,0.00,273.75,3.00,755.71,1663
Apache-DERBY,5.00,245.74,215.00,515.27,5827
Apache-ATLAS,1.00,153.52,55.00,392.90,3808
Apache-RANGER,1.00,54.51,25.00,187.79,3441
Apache-CMIS,0.00,113.26,28.00,317.69,997
Apache-BEEHIVE,0.00,32.84,30.00,77.57,1082
Jira-CONFSERVER,9.00,643.11,1095.00,823.12,37844
Apache-SUREFIRE,1.00,265.88,232.00,557.94,1837
Jira-FE,7.00,513.11,553.50,890.20,4747
Apache-MYFACES,0.00,276.22,73.00,766.62,4203
MongoDB-JAVA,2.00,136.32,86.00,336.06,4195
Spring-INT,0.00,168.10,52.00,556.92,4357
Sonatype-OSSRH,0.00,19.84,1.00,185.08,84700
Apache-ARTEMIS,2.00,106.86,67.00,278.76,3704
JiraEcosystem-AC,2.00,155.18,167.00,352.63,1053
JFrog-HAP,3.00,71.31,67.75,153.24,738
Apache-SHINDIG,0.00,64.38,36.00,184.55,1752
Apache-REEF,1.00,52.52,43.00,129.81,1606
Apache-HAMA,0.00,84.16,61.50,199.57,867
Apache-TAJO,1.00,55.98,37.00,137.05,1807
RedHat-WFLY,2.00,137.75,85.00,360.98,13311
Apache-PDFBOX,0.00,292.08,145.00,674.27,5154
Apache-XERCESJ,4.00,397.52,687.25,444.22,1470
Apache-AXIS,25.00,357.06,520.50,473.90,1843
Apache-TUSCANY,0.00,85.96,74.00,190.27,3496
RedHat-ARQ,0.00,126.18,103.50,296.16,1711
Spring-DATAREST,0.00,62.21,41.00,174.94,862
Apache-IVY,2.00,263.80,305.75,551.40,1222
RedHat-ENTMQST,13.00,126.15,115.25,232.78,2812
Spring-SWS,0.00,91.61,56.50,256.09,891
Apache-STANBOL,0.00,129.59,78.00,309.54,1317
Apache-SQOOP,1.00,54.12,35.50,143.65,2283
Apache-OLINGO,0.00,67.68,48.50,168.74,1271
RedHat-FORGE,0.00,128.47,70.50,372.13,2327
Apache-OPENJPA,1.00,154.02,117.00,397.09,2088
RedHat-AS7,1.00,53.65,58.00,105.56,5427
RedHat-TEIID,0.00,136.08,48.00,420.92,5683
Apache-TAPESTRY,2.00,114.40,159.00,176.57,2325
Apache-EAGLE,1.00,63.86,67.00,132.52,819
Apache-MAPREDUCE,3.00,344.72,242.00,647.21,5426
Apache-JSPWIKI,2.00,300.83,154.00,743.63,905
Apache-ZOOKEEPER,4.00,214.29,149.00,491.75,2943
Apache-CAMEL,0.00,101.83,20.00,348.02,18579
RedHat-ENTMQ,6.00,155.96,125.00,343.90,1473
RedHat-RHCLOUD,4.00,51.19,71.00,74.47,2988
Apache-LUCENE,0.00,168.69,61.00,431.42,8709
